ID;input1;input2;input3;input4;input5;input6;input7;input8;input9;output1;output2
18;0.0722;0.114367;1201669;-0.348126;0.534436;-0.480781;1265549;-0.4051;0.810384;9651042;-29516599
19;-0.007018;0.364117;1617129;-0.091898;-0.332063;0.59172;1904936;-0.048373;0.04881;12285397;-30551877
20;0.586953;-0.072586;2089591;-0.085377;0.01188;0.400364;-0.997426;0.655492;0.798573;1066375;-30862027
21;1420174;-0.210027;0.954301;-0.648726;0.548797;0.311326;1093683;-0.62555;1886305;8122299;-28619893
22;0.041876;0.796339;-0.136331;0.204021;-0.481183;0.956768;1502224;1114722;-0.457653;14682788;-29868738
23;0.530156;-1006882;0.124245;-0.549402;0.694199;-1150574;-0.465641;-0.665713;0.063616;4969123;-18515439
24;-1295671;1314416;-0.43715;0.828858;-1608007;1187909;-0.396875;0.469602;-0.951514;23163983;-26558274
25;0.028764;0.199598;1430319;-0.877364;-0.181212;-0.39954;-0.031233;0.2437;1467865;848967;-28732366
26;-0.705577;1466137;0.300489;0.464274;-1469656;1246861;-0.224049;0.843616;-1275468;21854642;-27082325
27;1437309;-135563;-0.159573;-0.234325;1724019;-0.688234;-100883;-0.612882;1527865;4286299;-21759029
28;-0.370617;0.034275;0.278816;0.225416;-0.104465;147252;2077338;0.736734;0.153974;137976;-30292482
29;-2113741;1391449;-1158556;1889003;-0.976385;0.638492;-1774707;-0.115083;-0.873196;23405968;-26537532
30;1753703;-0.710791;0.461883;-0.785157;0.618273;-1338251;0.731487;-0.305944;1087881;5676546;-26875995
31;1280837;-0.081115;-0.067445;-0.438756;0.663027;-0.215815;-0.448323;-1045124;1270425;7091573;-27613838
32;-0.720105;0.424789;1658285;0.394818;-0.610505;0.420059;1958055;0.590318;-0.091292;14541839;-2992047
33;-1540359;0.868578;-0.141809;0.695115;-1537964;2170006;0.041815;1552076;-1885961;20404245;-2766688
34;0.945685;-1287673;-0.903882;-0.97097;1473987;-1054999;-1146012;-2021454;0.183758;5093528;-16983106
35;0.626561;0.253555;0.392955;0.424125;0.50853;0.882164;-0.202049;0.571178;0.90688;11291171;-30757846
36;0.819169;-1038907;0.131246;-1797238;1017981;-0.950816;-0.765605;-1131467;0.792135;5476652;-16862919
37;-1336204;1624134;-2716571;1387328;-1243099;0.936025;-0.675539;0.860462;-1807868;24267331;-26275305
38;0.707844;-0.931521;0.001601;-1578823;1525052;-1496241;-0.260552;-1069696;0.969905;3651214;-20986626
39;1501853;-1651068;1341833;-0.970532;0.72967;-0.328247;0.14643;-0.965519;1661548;5222451;-25864871
40;-1057609;1474734;-0.583271;1023547;-1029088;123303;-0.135837;0.811352;-1337258;23271849;-26677453
41;-0.078483;0.400689;161037;0.162169;0.300525;0.799232;0.372894;0.457015;0.090125;10331425;-31310355
42;-0.783533;0.423631;-0.640086;0.445197;-1538777;1350673;-0.204308;1707797;-1986661;16629932;-30141651
43;-1422493;1677964;-1472079;0.511047;-0.9711;1943303;-0.019655;138917;-0.781966;2130838;-27368429
44;0.979054;-0.516044;-0.113718;-0.874832;1310649;-0.853013;-0.143169;-0.481892;0.61698;4200574;-21861
45;-1550956;-1015574;0.204444;-1049823;1479244;-0.628486;-0.354328;-0.708765;0.171373;5373118;-15423883
46;-0.565533;1249871;-0.392864;0.624886;-108108;1211861;-0.042235;0.419522;-1405792;22112301;-26985408
47;-0.731097;0.659719;0.075823;0.671069;-0.150364;0.770749;1106196;1726132;-0.422821;16957296;-29006533
48;-1175901;1079854;-0.515774;0.811359;-1230454;1295327;0.14972;0.465383;-2133411;23112159;-26778787
49;1599769;-0.79486;0.645931;-0.728929;0.786666;-1032385;-0.575143;-1276744;0.570839;4112047;-20896219
50;1465371;-1004274;1046373;-0.322686;1206577;-1269887;-0.208011;-0.265356;1726966;3134306;-26003223
51;0.617266;0.245094;1114183;0.020864;0.014225;1225086;215873;0.137009;1110573;11104701;-30756398
52;1160603;-1532669;0.557482;-0.245498;1163144;-1230826;-1235387;-0.913125;1463086;4658107;-20294476
53;1013557;-1193156;0.002274;-0.419041;1150186;-0.511713;-0.81914;-0.177644;1826037;4873021;-25864253
54;-0.972029;0.671126;-1791144;1216645;-0.745811;2110471;-0.900093;1291103;-1841219;19108023;-28283576
55;-0.079599;-0.610862;1050394;-0.439097;-0.071782;-0.495303;0.624652;-0.119177;1123352;8044578;-28051648
56;-1254535;1496199;-0.876154;1033368;-1321616;0.811306;0.093058;0.804392;-1529167;22759059;-26656358
57;0.247658;0.187364;0.331946;-1125329;0.73176;0.24502;0.423685;0.033746;0.872941;9732209;-297621
58;-1209891;-0.059752;-0.532604;1198464;-0.964058;1561069;-0.106509;1316304;-0.971385;18233919;-28440152
59;0.447417;-0.755144;1769383;-0.373866;0.293249;0.432397;-0.40669;0.681922;1433449;7847591;-2816668
60;-1388357;0.644242;-0.640862;0.675538;-1486819;1643987;-0.499566;1502183;-1261505;19505447;-28103457
61;1019985;-1725676;0.859557;-0.355822;0.403315;-1332785;-1286504;-1090977;0.746764;3911117;-24682309
62;-0.916976;0.760103;-0.151438;0.385879;-0.788459;1008376;1685102;1355976;-1007634;17789771;-28607977
63;0.301782;0.221242;2100163;0.560403;0.750917;0.518637;1104858;0.163892;0.807886;9941798;-29705178
64;0.218424;-1543133;-0.81485;-0.409833;1220357;-143335;0.407327;-0.761485;0.220605;4393758;-20848453
65;-1052584;1177068;-0.736437;1082752;-112022;1047172;0.97964;1867009;-0.880871;17445338;-28991554
66;1319952;-1298306;150071;-0.915936;113571;-0.201766;0.177147;-0.604802;1077325;5473825;-2674821
67;-0.008773;-0.822817;0.12407;-0.602776;1103406;-1619932;-0.479664;-1996078;0.029113;4149;-23971456
68;0.222889;0.820522;1180541;1233749;-0.433256;0.495118;0.18097;0.146036;0.506017;11644354;-33130552
69;-0.395212;0.671913;1984435;0.50851;-0.255387;-0.07534;1268209;0.863338;0.532726;1097201;-30686847
70;0.986547;-1322758;-0.183816;-0.766019;0.363075;-0.947301;-0.198841;-0.084658;0.678119;383376;-21350653
71;-1452614;0.955195;-1054343;101913;-1223062;141283;-0.622219;198718;-1021041;18335106;-28541835
72;0.605301;-0.720155;0.378316;-0.546556;0.856197;-1068264;-1076752;-0.73417;0.709927;4495631;-21086183
73;0.569634;-0.564057;1756735;-0.301223;0.550638;0.023416;0.791731;-0.940362;1262139;641848;-27140668
74;1300036;-1521863;0.244836;-1211921;1107466;-0.816121;-1305657;-0.559941;1016311;463253;-18059321
75;0.399503;0.1085;1736222;0.43542;0.41816;0.289804;1621481;0.111301;0.261971;10119158;-30258415
76;0.510892;-1172456;0.108071;-1185427;1280076;-1499711;-0.305751;-0.984602;0.106076;4383858;-20276198
77;1006375;-0.732029;0.878858;-0.76243;0.36627;0.092904;-0.592103;-0.518232;1619011;6477128;-27100237
78;1209628;-1691869;1127353;-0.125852;0.086682;-0.686067;-0.712195;-0.377997;1797087;4944314;-2480526
79;-172317;0.162001;0.25088;0.558072;-0.864564;0.62765;0.704665;1729396;-2055179;16781352;-28956849
80;-1178315;0.320992;0.630075;0.826807;-0.544462;1016942;0.057798;157156;-0.021547;15671917;-29315916
81;0.141591;0.539624;1928382;0.183844;0.283579;-0.018861;1342493;0.559116;0.402235;11235967;-30872755
82;-0.230263;0.665311;2128473;0.431407;0.318762;0.612892;1518917;1255805;0.454824;10688563;-30587743
83;-1063114;1540249;-0.428408;1061181;-1044984;0.805686;0.344104;0.96731;-0.756467;2118303;-27153118
84;0.886856;-0.255527;0.783524;-0.188248;0.36177;-0.29594;-0.350243;0.380531;1106576;7179031;-29400584
85;-0.83518;0.211538;-1015926;0.661935;-0.989798;1779531;-0.716688;1418059;-0.81008;19638876;-27929319
86;0.419707;-0.019795;1905962;-0.407585;0.586535;-0.203702;0.414013;-0.878205;0.553631;6522737;-31943319
87;1412077;-1059949;0.301757;-1079086;0.266382;-0.223695;-0.711715;-1746567;0.552143;4781711;-2498578
88;100463;-1126862;0.15709;-0.894175;1136804;-0.411453;-0.533157;-0.977326;1063382;3719262;-23036231
89;0.725448;0.710696;2145908;0.609823;-0.881124;0.713978;-0.253718;0.538576;0.543939;11725217;-30904734
90;-140124;112422;-0.229714;0.437395;-0.675011;1401885;-0.749041;139814;-1874906;20421518;-27804769
91;0.047017;0.266139;-0.154437;0.151358;-0.682112;1386625;2302862;1069777;-0.054449;12253292;-30998558
92;-1545698;0.751092;0.197764;0.510537;-1485436;1312366;-0.731697;1532518;-0.624215;1761657;-2876179
93;-1962858;1650878;0.303652;0.93503;-1184624;0.971045;0.056647;0.83683;-1235475;20900254;-27506591
94;0.976344;-0.086264;0.554359;-0.564734;0.488991;-0.113425;-0.644648;0.114418;0.450147;6069416;-30204884
95;-0.613581;1166636;-0.253345;1029266;-1216614;1275379;0.330554;0.750899;-0.809249;21007396;-27341632
96;0.541177;-0.750811;0.973376;-0.807117;1646644;-0.810038;-0.401846;-0.809525;0.638745;5216667;-18076061
97;1208165;-1453035;0.174106;-0.819685;1096469;-1461202;-0.291417;-0.832544;1134397;4707114;-20780951
98;1669726;-0.963496;0.130091;-0.430018;1523881;-1665323;-135249;-2623239;0.789457;547225;-17083243
99;0.359398;-0.76646;0.181404;-0.95572;0.341018;-1310539;-0.076165;-0.717741;0.779978;4971733;-21602739
100;0.029566;0.434066;0.590703;0.618881;0.800386;0.512608;0.758582;-0.143273;0.024448;11263687;-30883694
101;1590542;-0.697697;0.761371;-0.831166;0.749965;-0.640478;0.239152;-0.229169;0.074472;5368714;-26236847
102;-0.402486;0.460088;0.084151;1008673;-0.381241;0.534338;1324765;0.407643;0.373317;12479121;-30698076
103;-0.626387;0.295387;-0.576866;1072531;-1905487;0.692192;1175034;1775599;-1572751;17074498;-29050284
104;-1050988;0.66522;-0.669144;1112389;-0.71275;1410524;0.721513;1888082;-1201037;18165978;-28505905
105;0.791031;-0.677913;1221198;-0.736311;0.274443;-0.907338;0.175935;-1127775;1296182;4575207;-24011908
106;-100644;0.481269;0.653867;0.752176;-0.256744;0.602234;186178;0.809111;-0.342818;15003357;-30211505
107;1088104;-0.827088;-0.366755;-0.217047;1494175;-0.953862;-0.189284;0.202636;1369842;4175377;-24526338
108;0.145836;-0.194841;1704605;-0.064386;0.779447;-0.381906;0.58793;-0.392916;1131305;946874;-29385096
109;-1450284;0.43651;0.951493;0.37759;-0.715449;0.166175;2096043;0.957969;-0.604679;14674723;-29936763
110;-1679239;-0.125395;-0.579942;1042541;-1030551;1787778;-0.301589;1067642;-18627;20441551;-27747957
111;119922;-1401959;0.129486;-1576578;0.74439;-1077283;-0.648751;-1581787;0.359939;5120098;-16359179
112;0.557955;-1114649;0.371169;-0.916801;0.973781;-1187998;-0.771831;-1036576;-0.027016;5131952;-16182688
113;-0.013706;1019043;0.950046;0.24635;0.808895;0.74728;1115454;-0.097417;0.241359;10029938;-30378536
114;0.641677;-0.027269;1524172;-0.388254;0.803457;-0.525295;0.755481;0.5162;1299458;9188146;-29211323
115;0.465732;-0.664128;-0.518404;-0.476107;1210755;-135114;-0.02542;-0.899556;0.693546;4212023;-19032934
116;-0.62989;1075543;-0.372607;1151994;-1329955;1828423;-0.718892;1445424;-0.844921;21232093;-27705934
117;-1451117;1644145;-1694032;0.713066;-1647651;1521527;0.235191;1558286;-1052913;19101067;-28188734
118;1236172;-0.334646;-0.022567;-0.466095;0.389758;-0.865512;-0.105586;0.188148;0.134002;7072206;-2758436
119;107863;-1602809;0.588916;-1133496;0.969397;-0.550604;-156976;-0.982162;0.11178;5102766;-19526619
120;1942822;-0.394503;1098082;-0.555433;0.272067;-0.938316;-1351711;0.160187;1489029;4424207;-24121791
121;0.244523;0.275491;0.734706;-0.309804;-0.617233;-0.262714;2127488;1220743;0.719987;12169002;-30729
122;1797539;-1272192;2145538;-0.368694;1049535;-0.684359;-0.115256;-0.247028;1495247;6139548;-26830586
123;-1047848;0.620507;-0.144722;0.319912;-0.521875;0.988882;150432;1737756;-0.615039;16621142;-3064772
124;-0.921088;0.782916;-0.813739;-0.01003;-1454113;1628372;0.418341;1900964;-1007317;17138671;-30387138
125;0.140593;0.58974;1391676;0.569487;-0.031083;0.250465;2471137;-0.10235;1116109;10136539;-29661906
126;-1184391;1242911;-0.808642;0.616267;-1003827;1084463;0.727749;1505278;-1036789;16520499;-29334099
127;0.431641;-0.963643;1080764;-0.760727;1385019;-0.824042;-0.514695;-0.873918;0.522672;5349394;-15497788
128;0.311684;0.315753;1274014;0.546112;-0.611645;1073135;1788049;0.464074;0.398235;10413371;-30082128
129;0.576923;-0.888946;0.886661;-0.7789;0.114882;-0.56096;0.477909;-0.808107;101953;4840281;-25181882
130;-1043252;0.845814;-0.61456;0.954084;-1190372;1554835;0.431105;1426794;-0.943555;21324769;-27327149
131;-1267461;1479442;-0.598336;0.702044;-1231078;156166;0.083799;1171209;-0.882206;23394482;-26526178
132;0.205483;0.899766;0.851011;-0.069065;0.137576;-0.070372;2030244;0.209926;0.912978;1070575;-30750753
133;0.933623;-1343395;-0.078955;-1899209;0.863966;-1647411;-0.126434;-1313618;1086972;471873;-19130762
134;0.291739;-0.684235;0.472924;-1129334;1720363;-0.437314;-0.623374;-0.867459;0.286376;5191054;-18091947
135;1155767;-0.291285;0.17654;-0.701402;1040187;-0.721995;0.133215;-0.496939;1726944;5280807;-26150083
136;0.899698;-1120183;0.624833;-1073802;0.865872;-1503779;-0.403526;-0.613935;0.945604;4219554;-1947615
137;-1334327;0.296459;-1524633;0.269656;-1224535;1584427;-0.045047;1523459;-1548896;18060893;-28612234
138;0.864415;-0.900435;1717883;-0.914575;0.035965;-0.261749;0.983898;0.110785;1377289;7269798;-27643439
139;1334425;-1441119;0.705961;-0.367556;1106422;-1303906;-0.953919;-0.822775;1003069;3999027;-22742658
140;0.167025;-100663;-0.009874;-130752;1273526;-1722689;-0.085186;-1850614;0.472578;4618621;-22750603
141;0.063414;-0.102378;1941147;0.728405;-0.092799;-0.134152;1683535;-0.09972;0.968699;10965658;-30804983
142;0.207768;0.135375;0.717896;0.449955;0.695795;0.349058;1314508;1100468;0.663013;11066169;-30823696
143;-1159365;1890769;-1121185;1008605;-1376843;0.863481;-0.623052;0.239127;-1648232;23165243;-2641517
144;-1682844;1149087;-1202137;1624189;-1205427;0.309219;-0.013483;-0.347475;-0.954848;24758181;-26255332
145;0.315292;-0.808541;0.37907;-1083149;1096657;-1510362;0.374126;-0.9788;1787847;499783;-26614361
146;0.821673;-0.815382;0.556313;-0.674253;1183684;-1394655;-0.181156;-1199307;0.137742;4287213;-20750295
147;-1450235;1439721;-1642863;1304595;-1517486;1105891;-0.179076;0.125501;-1630945;23937541;-27584307
148;1681882;-0.201695;185622;-0.839409;0.128151;0.010641;0.197343;0.117374;0.038057;7918879;-28198297
149;1109167;-1285441;1033584;-1260621;0.571533;-0.93784;-1075986;-1285923;0.630643;4606954;-2450599
150;1095175;-108686;1069958;-1790865;1188188;-1207718;0.331876;-0.767426;0.436577;4514122;-24740881
151;1250414;-0.904393;0.707242;-0.739518;1157358;-0.72875;0.543102;-0.341931;1347466;7692402;-27903048
152;-1758025;1593906;-1063364;-0.547107;-1092617;1156023;-1438192;2268569;-1269286;17671078;-28747622
153;1502916;-0.185777;2036659;0.174586;0.473972;0.197916;0.038778;-0.565256;1818262;7612731;-28150154
154;-135116;1688266;-0.346241;0.552792;-0.683073;2203047;-0.303178;0.697189;-1373104;22890541;-2669372
155;-0.302579;1092395;0.421359;-0.092006;-1158628;0.677711;1705353;0.622351;0.008144;14021835;-29866546
156;-0.533792;0.97781;-0.163343;0.642018;-0.677986;0.734947;0.941782;1990181;-0.795586;17718465;-28619734
157;0.039439;0.015876;1631345;-0.110786;-0.087799;0.687299;0.472346;0.365012;0.939922;10638365;-31551565
158;-0.425838;0.249559;-0.224464;0.488031;-0.612709;0.987148;144314;1440432;-0.310735;14201392;-29995324
159;-0.988466;1255003;-0.507478;0.568024;-1257137;1225044;-0.472831;1803522;-1749137;17287463;-29279539
160;0.25968;0.777876;0.484747;-0.679876;0.207871;0.500125;0.781735;1389745;0.711681;10855043;-30810216
161;0.427612;-0.315909;0.766864;-1911199;1400143;-0.489409;0.767933;-0.788218;1150193;6336905;-27263683
162;1742187;-0.986851;-0.813699;-0.30779;0.588884;-0.993514;0.115594;-0.873559;1039853;4175686;-22854433
163;-0.176362;0.233984;-0.040276;0.03784;-0.261259;0.689603;2620869;0.420367;0.209834;12731265;-30629752
164;-1390581;107614;-3062546;-0.049158;-0.991678;1026055;0.402428;1887855;-0.684626;17244418;-29072507
165;-1052949;0.083577;-0.920639;0.400583;-1407394;1570744;-0.477191;1550661;-1041089;18534433;-28318808
166;0.751808;-0.604218;1233779;-0.958655;0.858906;-0.448662;0.412256;0.164536;0.359618;9642021;-29701661
167;1399977;-102878;0.283821;-0.351884;1600265;-1048439;-0.644181;-0.243642;1066011;4311802;-2374481
168;-0.302684;0.7606;0.663353;0.227674;-0.228311;0.729681;0.97804;0.030675;-0.744059;13303263;-30415068
169;1491572;-0.50656;1312559;-0.569721;1590733;-0.905116;-0.95487;-0.626816;1254188;5074576;-18060366
170;-0.710602;1618229;-2030159;0.239655;-1160611;0.939843;0.28843;-0.47944;-128515;24335774;-26172883
171;0.980314;-0.32601;0.376981;-0.267356;0.898201;0.177662;0.208388;-0.225775;1147661;7635832;-28163032
172;-0.133451;0.674741;1322663;0.472456;0.042305;0.444857;0.868942;1202533;0.765553;8619835;-31899873
173;-1441294;13096;-0.971295;0.726981;-0.937383;1881663;0.525135;115867;-1621804;20892715;-27630227
174;0.706852;0.624567;0.740704;-0.592448;0.316407;0.410381;137348;0.508672;0.891255;11816174;-30951254
175;-1068818;1189175;-1320034;-0.14277;-1007393;117455;0.56651;0.674788;-1210409;16374514;-29146935
176;1297566;-0.541783;-0.22553;-0.544185;0.963695;-0.305709;-2354959;-1696603;0.380252;5007746;-17253839
177;-1141081;0.341818;-0.248042;0.325968;-0.800637;0.932199;1283191;1622224;-1768575;17195751;-28984363
178;0.133864;-1449555;0.499375;-0.548696;1183042;-1477047;0.024465;-0.683313;1466104;4112493;-24402672
179;-101552;1177126;-0.359328;0.990537;-1840378;1675721;-1340734;1278365;-1031808;20036888;-27781402
180;-1523255;1836965;-0.773032;0.579898;-1312373;1671038;0.208277;0.942594;-0.817576;22174735;-26924098
181;-1132153;0.632353;-0.01161;1033115;-1223911;1560062;0.905351;1912264;-1257908;16340366;-29316101
182;0.033083;-1245725;0.9652;-0.537358;0.697529;-1168358;0.026767;-1019954;1477004;6429461;-27137856
183;0.445013;0.725144;0.16065;0.684585;-0.127795;0.4272;2396576;0.021525;0.119751;12598611;-30578827
184;0.855368;-0.436863;1804155;-0.600523;0.778292;0.067065;0.863811;-0.302727;1191256;5939169;-2643208
185;-0.299393;0.499727;0.910548;0.415812;-0.840496;1401946;1315242;0.977097;-0.35045;13468588;-30149963
186;1359651;-0.555565;0.227994;-0.569987;121537;-0.904384;-0.759056;-1282265;0.968546;529775;-17253681
187;-0.150877;-0.069664;-1030897;0.729833;0.269681;0.980609;2119546;0.37035;0.344727;12642676;-30591941
188;0.887355;-0.523566;1950576;-0.571086;0.20785;-0.476464;0.799162;-0.308504;0.937836;7274565;-27705759
189;-0.894499;116172;-0.001526;0.115206;-0.760966;1032691;0.962267;1919594;-0.368041;16946566;-28939804
190;-0.441697;1102261;-0.628833;0.400011;-0.923216;1531998;0.362668;15714;-1560932;18458006;-30612748
191;0.620093;-0.641831;0.1223;-0.64193;0.307972;0.646837;0.184158;0.501628;1702898;8696314;-28732913
192;-1241262;0.621369;-1135675;0.113447;-1314561;1154209;0.052644;1517373;-1429325;2018048;-27835989
193;-0.053831;0.772042;1409178;0.858637;0.110669;0.376104;1242646;0.354189;0.715461;12112959;-33806575
194;-1433619;1223392;-0.540199;168715;-0.962608;1047065;-0.376455;0.859203;-224317;22094267;-26994463
195;0.05689;-1305713;-0.23823;-1280543;1422089;-1310232;0.014838;-1265556;0.572686;2518601;-21239758
196;0.883277;-0.021875;0.778442;-0.887991;0.350482;0.170591;0.976539;0.096723;0.876737;8450041;-28682938
197;1337829;-1359247;-0.081055;-1393543;0.875324;-1410449;-0.718519;-1194032;1715586;4295801;-22479606
198;-0.787706;1086192;0.302387;0.830249;-0.706283;0.646347;1263364;1704107;-0.618584;15674988;-2956783
199;0.153257;-0.523301;1567414;-0.346203;0.631182;-0.545119;0.104539;-0.915363;2105101;5448329;-26451769
200;1745073;-0.844073;-0.304947;-0.631777;0.300533;-1614108;-0.328486;-127446;-0.008162;5040258;-17466804
201;0.760724;0.252613;2061407;-0.399797;-0.013044;0.329883;0.545127;-0.144048;1311538;883739;-2915481
202;0.071994;0.609563;0.136346;0.462979;-0.690293;0.643759;1121498;1555001;-0.301253;12918356;-31209681
203;0.290586;-0.579239;1392498;0.155478;0.180858;-0.764719;1758492;0.272516;0.463861;901848;-29114942
204;-0.707378;1123242;-1208059;0.886765;-1364903;0.967852;-0.597647;1102621;-0.796662;20998016;-27352923
205;0.759454;-1264077;0.983818;-0.902685;0.746786;-0.748101;-0.65957;-1513154;1378374;4025185;-23477523
206;-2086616;1500032;-1585119;0.909182;-1107725;0.399639;-0.632076;0.193108;-108206;23899791;-27787363
207;0.489024;-0.543624;0.772981;0.089188;1213898;-0.659714;0.515903;-0.527616;1699544;6748268;-27083521
208;0.23375;0.837533;0.774389;-0.112067;0.392896;0.317871;1485749;1205045;-1047016;12512346;-30710247
209;-0.348295;0.500499;0.307982;0.174476;-0.94734;0.213789;2430319;1424391;-1051968;13285417;-30388518
210;-0.689416;0.033439;0.504117;0.01962;-0.333317;0.599953;2019311;0.812179;1226742;13479658;-30357892
211;0.692861;-0.948332;0.100963;-0.594338;0.644045;-106008;0.019889;-0.870186;1408632;4670972;-25322473
212;-0.02782;0.540706;1328767;-0.254826;0.164992;1220225;2276256;1061784;-0.523182;11847332;-3065105
213;0.292586;-1056023;0.429435;-1361029;1500346;-1441572;-0.803604;-0.9461;0.865614;4889883;-19978397
214;1194839;-103132;0.117713;-1261658;0.626557;-0.831542;-0.525324;-0.874168;1467234;338368;-27308303
215;1033208;-0.492383;0.14549;-0.692033;1461493;-1321104;-0.62492;-1320395;-0.139386;4282025;-21611111
216;1226779;-0.538134;0.681377;-0.732259;0.763561;-0.607336;-0.82098;-1001843;1004157;5498504;-26375518
217;1732931;-0.667556;-0.856763;-0.877003;0.813289;-1159478;-1036665;-1967881;0.320644;50467;-16593557
218;-1068789;0.864109;0.037169;0.821265;-0.720475;1129677;0.790968;2363932;-0.788131;16984073;-28915723
219;144862;-0.728623;0.353314;-0.983427;1149712;-0.587302;-0.044575;-1174219;156723;5001301;-24870573
220;-1523588;0.524943;0.613888;0.567741;-0.590426;1001406;1894901;1654206;0.245434;1350736;-30217838
221;0.074355;0.329615;1955205;0.428461;-0.316384;-0.141934;-0.020924;0.764058;0.60996;10595159;-30570567
222;0.391507;-0.680126;-0.221293;-1270547;0.237926;-1213793;-0.798449;-1200892;0.477837;5165803;-18221385
223;-0.783263;0.590085;-0.855018;0.498794;-1440941;0.738634;0.747121;1416308;-0.558549;16916617;-29134954
224;-1642022;134714;-1211429;1050505;-1492342;0.612575;0.348297;0.383823;-1468962;22806681;-2666441
225;0.523652;-0.265042;2075909;0.093309;0.300603;0.707332;0.98224;0.579284;0.360474;11116802;-30949845
226;1343276;-0.576348;148641;-0.91832;0.961553;-1069592;0.554319;-0.067245;1371181;5498105;-26388126
227;1083159;-1157696;-0.360698;-103898;1539726;-1591237;-0.45665;-0.975908;113648;5253041;-17357006
228;-1967409;1119478;-0.657869;1147967;-1337677;1719583;-0.5712;0.931616;-0.938218;20934068;-27721636
229;1758662;-1220653;0.946075;-0.935256;-0.224015;-0.615219;-0.277504;-149747;-0.059208;5035455;-16695985
230;0.665845;0.085815;0.634131;0.082865;0.398084;0.158029;1220321;1113015;0.513361;10986193;-30849749
231;-0.889202;0.814098;-1245335;0.622634;-1743582;1348971;0.350986;0.461077;-1442625;16127068;-29213876
232;0.493964;-0.428976;2199549;0.491186;0.628653;-0.644695;1005199;-0.633808;0.453098;7515603;-29876364
233;-1242776;1510406;-1724767;0.890837;-1293387;0.406663;-1225278;0.41876;-1681985;23223378;-26927323
234;-1587067;1650488;-1057691;1069429;-1204083;1082707;-0.012954;0.990744;-1308884;2188779;-27237755
235;0.592371;0.080879;188873;0.227516;-0.576702;0.673348;0.996584;0.659821;0.552516;7910838;-31099025
236;0.749108;-0.270892;142186;-0.571584;0.677491;-0.22053;0.406646;-0.342605;0.912898;9438005;-30259568
237;-1098732;1391025;-0.872724;1324735;-0.74871;0.438653;-0.55593;-0.011469;-1142828;23064367;-28922058
238;0.652955;0.084761;1232407;0.501469;-0.133414;0.785283;142965;0.802059;0.687947;11781526;-30927231
239;-110784;1535697;-1805256;1666338;-1674151;1106735;-0.448043;-0.087956;-1994033;24001477;-26268376
240;-0.367723;0.296605;1144112;0.518402;0.155963;0.699537;-0.639026;0.143694;0.78332;10848302;-30571864
241;-0.662409;0.729165;1774327;0.431928;-0.288659;0.127804;167348;0.774335;0.688515;10974307;-30654665
242;112396;-0.694655;0.326243;-0.852125;0.879141;-0.720715;-1131694;-0.283587;1563559;5663449;-26392044
243;-0.369084;0.269353;0.080898;0.619701;-0.296442;0.204163;2287276;0.508416;0.78027;13166949;-30404353
244;1380965;-0.648415;0.098339;-1144786;0.964725;-1525849;-0.775256;-1012017;0.737281;4725557;-17891641
245;1448146;-0.722258;0.811701;-130688;0.785527;-127226;-0.482239;-1024947;1368857;4959271;-24486618
246;-1404629;0.264152;-0.132616;0.769033;-1632856;0.227664;0.954055;0.987216;-1119105;17231419;-28923467
247;0.826772;-0.940951;1849268;-0.247929;0.544033;0.053386;0.422619;-1461479;0.816389;9025902;-28794421
